Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"","","13000","13000","13000"," 36 months","  7.56%","404.74","A","A3","Agent","9 years","MORTGAGE","49000","Not Verified","Feb-2019","Current","n","","","other","Other","800xx","CO","20.25","0","Jan-2006","0","","96","9","1","0","0%","17","w","12677.16","12677.16","393.82","393.82","322.84","70.98","0.0","0.0","0.0","Mar-2019","404.74","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","96917","1","2","1","2","4","96917","93","0","0","0","32","32700","0","0","0","2","12115","32700","0","0","0","148","157","27","4","0","33","","","","0","0","0","7","9","8","7","9","0","9","0","0","0","1","100","0","1","0","97755","96917","32700","65055","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","12000","12000","12000"," 36 months","  8.19%","377.09","A","A4","Sr. Buyer","10+ years","MORTGAGE","56000","Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","330xx","FL","10.76","0","Aug-2005","1","","","24","0","15411","34.2%","39","w","11704.81","11704.81","366.17","366.17","295.19","70.98","0.0","0.0","0.0","Mar-2019","377.09","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","371011","1","1","1","1","7","7246","97","3","5","4368","43","45100","1","0","4","8","15459","7340","65.2","0","0","68","162","6","6","2","6","","1","","0","5","8","11","16","2","22","35","8","24","0","0","0","6","100","36.4","0","0","403515","22657","21100","7500","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","24000","24000","24000"," 60 months"," 16.14%","585.43","C","C4","deputy sheriff","4 years","RENT","90000","Source Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","928xx","CA","15.49","0","Oct-1995","0","74","","9","0","27716","82%","18","w","23737.37","23737.37","542.39","542.39","262.63","279.76","0.0","0.0","0.0","Mar-2019","585.43","Apr-2019","Apr-2019","0","74","1","Individual","","","","0","0","274147","0","3","1","1","12","11168","39","0","0","18498","62","33800","1","5","0","2","30461","4327","86.5","0","0","154","280","63","12","3","132","","16","","2","2","3","3","4","9","5","6","3","9","0","0","0","1","88.9","66.7","0","0","302468","38884","32000","28668","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","5000","5000","5000"," 36 months"," 13.08%","168.67","B","B5","","n/a","RENT","31020","Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","236xx","VA","33.19","1","Feb-1985","0","","","15","0","9925","29%","25","w","4885.83","4885.83","161.4","161.40","114.17","47.23","0.0","0.0","0.0","Mar-2019","168.67","Apr-2019","Apr-2019","1","12","1","Individual","","","","0","0","37995","2","3","1","3","4","28070","86","1","3","4059","29","33650","0","0","0","6","2533","3900","27","0","0","104","408","3","3","0","14","","13","","0","7","12","11","11","8","12","17","6","15","","0","1","2","96","14.3","0","0","66124","37995","27300","32474","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","15000","15000","15000"," 36 months"," 11.71%","496.14","B","B3","Dental Assistant ","5 years","MORTGAGE","40000","Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","806xx","CO","40.08","0","Aug-2013","3","","","14","0","5081","11.8%","19","w","14650.24","14650.24","476.62","476.62","349.76","126.86","0.0","0.0","0.0","Mar-2019","496.14","Apr-2019","Apr-2019","0","","1","Joint App","80000","26.94","Verified","0","0","63910","3","3","0","2","17","58829","55","5","7","4456","32","43200","1","3","5","9","4565","25323","16.7","0","0","59","66","1","1","0","1","","0","","0","2","3","7","7","5","11","14","3","14","0","0","0","5","100","14.3","0","0","126807","63910","30400","83607","15202","Aug-2002","2","1","16","45.4","1","16","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","12000","12000","12000"," 60 months"," 13.90%","278.6","C","C1","","n/a","MORTGAGE","74500","Not Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","151xx","PA","10.13","0","Mar-2009","0","62","","16","0","5087","36.1%","21","w","11869.67","11869.67","260.07","260.07","130.33","129.74","0.0","0.0","0.0","Apr-2019","278.6","Apr-2019","Apr-2019","0","62","1","Joint App","139500","8.21","Not Verified","0","0","10910","0","1","0","1","19","5823","42","1","12","1550","39","14100","0","0","0","13","682","3153","50.7","0","0","55","34","7","7","0","7","","15","","1","6","9","9","11","3","15","17","9","16","0","0","0","1","95.2","11.1","0","0","27881","10910","6400","13781","10685","Oct-1999","0","3","26","35.4","10","22","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","25000","25000","25000"," 36 months","  8.19%","785.61","A","A4","Sales Coordinator","2 years","MORTGAGE","48000","Not Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","760xx","TX","24.45","0","Oct-2002","0","51","","11","0","7138","27.8%","17","w","24385.01","24385.01","762.86","762.86","614.99","147.88","0.0","0.0","0.0","Mar-2019","785.61","Apr-2019","Apr-2019","0","","1","Joint App","118000","20.53","Not Verified","0","0","184517","1","4","1","3","4","36650","55","0","1","7138","36","25700","1","2","0","5","16774","2362","75.1","0","0","196","45","18","4","1","44","","20","","0","1","1","1","1","9","6","7","1","11","0","0","0","1","94.1","100","0","0","220407","43788","9500","50940","29874","Apr-2013","0","1","9","53.6","3","7","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","14000","14000","14000"," 36 months"," 11.02%","458.48","B","B2","","n/a","RENT","48000","Not Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","336xx","FL","17.39","1","Mar-1989","0","21","","10","0","14967","73.4%","34","w","13337.14","13337.14","848.4","848.40","662.86","185.54","0.0","0.0","0.0","Apr-2019","458.48","May-2019","Apr-2019","0","55","1","Individual","","","","0","0","83900","0","2","0","0","28","68933","29","0","1","3911","52","20400","0","0","1","1","9322","2115","77.7","0","0","112","359","20","20","1","89","21","9","21","1","2","6","2","7","19","8","14","6","10","0","0","0","0","96.9","50","0","0","98122","83900","9500","77722","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","40000","40000","40000"," 36 months","  8.81%","1268.46","A","A5","Project Manager","10+ years","MORTGAGE","120386","Source Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","370xx","TN","20.42","0","Feb-1999","0","24","","18","0","33240","71.3%","49","w","39025.20","39025.20","1258.67","1258.67","974.80","283.87","0.0","0.0","0.0","Apr-2019","1297.83","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","159733","1","3","0","0","30","12152","26","2","4","8356","49","46600","0","6","0","4","9396","5323","85.3","0","0","136","240","4","4","2","13","","","24","0","9","12","9","13","18","14","29","12","18","0","0","0","2","95.8","77.8","0","0","241950","45392","36100","46850","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","3000","3000","3000"," 36 months"," 20.89%","112.86","D","D4","","< 1 year","RENT","25000","Not Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","900xx","CA","5.82","0","Jul-2008","0","24","","7","0","2163","34.9%","15","w","2939.36","2939.36","105.9","105.90","60.64","45.26","0.0","0.0","0.0","Mar-2019","112.86","Apr-2019","Apr-2019","0","24","1","Individual","","","","0","0","2163","1","0","0","0","27","0","","1","5","648","35","6200","0","0","0","5","309","762","65.4","0","0","127","127","2","2","0","23","","15","","3","3","5","3","3","6","7","9","5","7","0","0","0","1","80","33.3","0","0","6200","2163","2200","0","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","28000","28000","28000"," 36 months","  7.02%","864.82","A","A2","Project Engineer","< 1 year","MORTGAGE","145000","Source Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","700xx","LA","11.84","0","Apr-1997","0","60","","6","0","0","0%","23","w","27298.98","27298.98","842.98","842.98","701.02","141.96","0.0","0.0","0.0","Mar-2019","864.82","Apr-2019","Apr-2019","0","60","1","Joint App","175000","12.05","Source Verified","0","0","281102","0","4","1","1","11","45277","54","0","1","0","49","6500","1","0","1","2","46850","","","0","0","224","262","13","11","2","","60","11","60","1","0","0","0","5","13","1","8","0","6","0","0","0","1","91.3","","0","0","351765","45277","0","97915","27882","Apr-1997","0","2","4","83.3","0","7","1","0","60","N","","","","","","","","","","","","","","","N","","","","","",""
"","","40000","40000","40000"," 60 months"," 12.40%","897.89","B","B4","Training Leader","10+ years","RENT","90000","Not Verified","Feb-2019","Current","n","","","credit_card","Credit card refinancing","923xx","CA","18.94","0","Jan-2005","0","","94","8","1","32302","75.1%","11","w","39515.44","39515.44","842.78","842.78","484.56","358.22","0.0","0.0","0.0","Mar-2019","897.89","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","37589","1","1","0","0","60","5287","19","1","2","15526","53","43000","0","0","1","2","4699","9198","75.9","0","0","77","169","6","6","0","6","","6","","0","4","6","5","7","2","7","9","6","8","0","0","0","1","100","40","1","0","71458","37589","38200","28458","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","7100","7100","7100"," 36 months"," 17.97%","256.58","D","D1","Mental Health Substance Abuse Therapist","7 years","MORTGAGE","70000","Verified","Feb-2019","Current","n","","","other","Other","480xx","MI","24.79","0","Apr-2008","0","47","","14","0","14569","39%","20","w","6949.74","6949.74","242.4","242.40","150.26","92.14","0.0","0.0","0.0","Mar-2019","256.58","Apr-2019","Apr-2019","0","47","1","Joint App","149000","15.18","Verified","0","0","206000","1","3","1","3","10","16885","55","4","4","4285","46","37400","3","1","8","7","14714","263","97","0","0","130","82","2","2","2","43","","0","","0","2","8","2","3","7","10","11","8","14","0","0","0","5","90","100","0","0","249773","31454","8800","30724","20869","Mar-2016","1","0","9","46","3","6","0","1","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","20000","20000","20000"," 36 months"," 11.02%","654.97","B","B2","Driver ","5 years","RENT","130000","Not Verified","Feb-2019","Current","n","","","other","Other","104xx","NY","14.04","0","Mar-2012","0","30","","22","0","424","1.1%","34","w","19528.70","19528.70","630.48","630.48","471.30","159.18","0.0","0.0","0.0","Mar-2019","654.97","Apr-2019","Apr-2019","0","33","1","Individual","","","","0","0","24308","3","2","1","1","11","23884","76","4","9","137","26","39900","1","0","2","10","1105","16937","1","0","0","83","68","3","3","0","4","","11","30","2","3","4","7","7","3","20","30","4","22","0","0","0","5","96.8","0","0","0","98966","24308","17100","59066","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","8600","8600","8600"," 36 months","  8.19%","270.25","A","A4","Driver","6 years","RENT","50000","Not Verified","Mar-2019","Current","n","","","credit_card","Credit card refinancing","121xx","NY","18.31","0","May-2009","0","","71","12","1","3090","19.2%","18","w","8388.44","8388.44","262.42","262.42","211.56","50.87","0.0","0.0","0.0","Apr-2019","270.25","May-2019","Apr-2019","0","","1","Individual","","","","0","0","13318","0","2","0","2","16","10228","52","0","1","1569","37","16100","1","1","0","3","1110","6762","21.4","0","0","117","67","14","14","0","14","","16","","0","2","6","3","4","7","10","11","6","12","0","0","0","0","100","0","1","0","35776","13318","8600","19676","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","20000","20000","20000"," 36 months"," 17.19%","714.95","C","C5","Retail Supervisor ","2 years","OWN","40000","Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","775xx","TX","26.55","0","Oct-2005","0","","","14","0","27268","84.9%","25","w","19571.55","19571.55","676.75","676.75","428.45","248.30","0.0","0.0","0.0","Mar-2019","714.95","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","27268","0","0","0","0","41","0","","0","1","4821","85","32100","0","0","1","1","1948","1230","91","0","0","160","122","18","18","0","18","","11","","0","6","14","6","8","7","14","18","14","14","0","0","0","0","100","83.3","0","0","32100","27268","13600","0","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","37925","37925","37925"," 36 months","  8.19%","1191.76","A","A4","exec assistant","8 years","MORTGAGE","72500","Source Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","070xx","NJ","58.79","0","Jan-1982","0","","","15","0","18481","35.7%","26","w","36992.08","36992.08","1157.25","1157.25","932.92","224.33","0.0","0.0","0.0","Mar-2019","1191.76","Apr-2019","Apr-2019","0","","1","Joint App","182500","30.09","Source Verified","0","0","564887","1","4","0","2","15","32389","36","1","1","0","48","51700","1","5","0","3","37659","4800","0","0","0","164","445","2","2","3","53","","15","","0","0","5","1","5","9","8","13","5","15","0","0","0","1","96.2","0","0","0","724568","84148","4800","89590","109664","Feb-1984","0","3","12","44.1","4","10","0","0","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","10225","10225","10225"," 60 months"," 29.00%","324.57","E","E5","Roofer","5 years","RENT","36000","Source Verified","Feb-2019","Current","n","","","debt_consolidation","Debt consolidation","336xx","FL","29.43","0","May-2014","0","","","5","0","659","10.5%","9","w","10147.53","10147.53","291.62","291.62","77.47","214.15","0.0","0.0","0.0","Mar-2019","324.57","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","44662","1","2","3","4","4","44003","77","1","1","659","48","6300","8","4","7","5","8932","3641","15.3","0","0","34","57","7","4","0","7","","4","","0","1","1","2","2","5","3","4","1","5","0","0","0","4","100","0","0","0","53274","44662","4300","46974","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
"","","8000","8000","8000"," 36 months"," 12.98%","269.48","B","B5","President","6 years","MORTGAGE","115000","Verified","Feb-2019","Current","n","","","credit_card","Credit card refinancing","554xx","MN","18.43","0","Jan-1997","0","","87","27","1","17317","59.3%","33","f","7817.05","7817.05","257.94","257.94","182.95","74.99","0.0","0.0","0.0","Mar-2019","269.48","Apr-2019","Apr-2019","0","","1","Individual","","","","0","0","319228","6","12","1","2","6","56752","90","4","4","3397","80","29200","1","0","1","8","11823","1818","84.2","0","0","125","265","3","3","2","3","","7","","0","6","12","6","8","15","13","16","12","27","0","0","0","7","100","83.3","1","0","339970","74069","11500","63004","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","","","","","",""
